TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A00400,99837510,1836,STC 10529; ESTC S101702,Free,"Escalante, Bernardino de, 16th cent.; Frampton, John, fl. 1577-1596.",1579,"A discourse of the nauigation which the Portugales doe make to the realmes and prouinces of the east partes of the worlde and of the knowledge that growes by them of the great thinges, which are in the dominions of China. Written by Barnardine of Escalanta, of the realme of Galisia priest. Translated out of Spanish into English, by Iohn Frampton.; Discurso de la navegacion que los portugueses hazen à los reinos y provincias del Oriente. English","Asia -- Description and travel -- Early works to 1800.; Portugal -- History -- Period of discoveries, 1385-1580 -- Early works to 1800.",94
A00709,99837816,2159,STC 10840; ESTC S102015,Free,"Feynes, Henri de.; Loiseau de Tourval, Jean.",1615,"An exact and curious suruey of all the East Indies, euen to Canton, the chiefe cittie of China all duly performed by land, by Monsieur de Monfart, the like whereof was neuer hetherto, brought to an end. VVherein also are described the huge dominions of the great Mogor, to whom that honorable knight, Sir Thomas Roe, was lately sent ambassador from the King. Newly translated out of the trauailers manuscript.",Voyages and travels -- Early works to 1800.; Asia -- Description and travel -- Early works to 1800.,52
A01864,99838987,3380,STC 12003; ESTC S103230,Free,"González de Mendoza, Juan, 1545-1618.; Parke, Robert, fl. 1588.; Loyola, Martín Ignacio de, d. 1606.",1588,"The historie of the great and mightie kingdome of China, and the situation thereof togither with the great riches, huge citties, politike gouernement, and rare inuentions in the same. Translated out of Spanish by R. Parke.; Historia de las cosas mas notables de la China. English",Philippines -- Description and travel -- Early works to 1800.; Latin America -- Description and travel -- Early works to 1800.; China -- Description and travel -- To 1900.,419
A02614,99839568,3999,STC 12744; ESTC S103823,Free,"Hanmer, Meredith, 1543-1604.",1586,"The baptizing of a Turke A sermon preached at the Hospitall of Saint Katherin, adioyning vnto her Maiesties Towre the 2. of October 1586. at the baptizing of one Chinano a Turke, borne at Nigropontus: by Meredith Hanmer, D. of Diuinitie.","Chinano -- Sermons -- Early works to 1800.; Sermons, English -- 16th century.",90
A03250,99854936,20398,STC 13366; ESTC S119729,Free,"Heywood, Thomas, d. 1641.",1609,"Troia Britanica: or, Great Britaines Troy A poem deuided into XVII. seuerall cantons, intermixed with many pleasant poeticall tales. Concluding with an vniuersall chronicle from the Creation, vntill these present times. Written by Tho: Heywood.",,468
A03702,99851433,16705,STC 13828; ESTC S116216,Free,"Hortop, Job.",1591,"The trauailes of an English man Containing his sundrie calalmities indured by the space of twentie and odd yeres in his absence from his natiue countrie; wherein is truly decyphered the sundrie shapes of wilde beasts, birds, fishes, foules, rootes, plants, &c. With the description of a man that appeared in the sea: and also of a huge giant brought from China to the King of Spaine. No lesse pleasant than approued. By I.H. Published with authoritie.; Rare travailes of Job Hortop",Voyages and travels -- E.; West Indies -- Description and travel -- E.; Mexico -- Description and travel -- Early works to 1800.,32
A04899,22145372,25167,STC 1504.5; ESTC S659,Free,"Borri, Cristoforo, 1583-1632.; Ashley, Robert, 1565-1641.",1633,"Cochin-China containing many admirable rarities and singularities of that countrey / extracted out of an Italian relation, lately presented to the Pope, by Christophoro Borri, that liued certaine yeeres there ; and published by Robert Ashley.","Jesuits -- Missions -- Vietnam, Southern.; Missions -- Vietnam, Southern.; Cochin China.",72
A08444,99839906,4367,STC 18766; ESTC S104167,Free,"Ochino, Bernardino, 1487-1564.; Bacon, Anne Cooke, Lady, 1528?-1610.; Argentine, Richard, d. 1568.",1551,"Certayne sermons of the ryghte famous and excellente clerk master Barnardine Ochine, borne within the famous vniuersitie of Siena in Italy, now also an exyle in this lyfe, for the faithful testimony of Iesus Christe. Faythfully translated into Englyshe",Predestination -- Early works to 1800.; Sermons -- 16th century.,208
A08448,99848647,13756,STC 18770; ESTC S113413,Free,"Ochino, Bernardino, 1487-1564.; Ponet, John, 1516?-1556.",1549,"A tragoedie or dialoge of the vniuste vsurped primacie of the Bishop of Rome, and of all the iust abolishyng of the same, made by master Barnardine Ochine an Italian, [and] translated out of Latine into Englishe by Master Iohn Ponet Doctor of Diuinitie, neuer printed before in any language",Papacy -- Controversial literature -- Early works to 1800.,218
A09429,99840299,4786,STC 1972; ESTC S104566,Free,"Best, George, d. 1584.",1578,"A true discourse of the late voyages of discouerie, for the finding of a passage to Cathaya, by the Northvveast, vnder the conduct of Martin Frobisher Generall deuided into three bookes. In the first wherof is shewed, his first voyage ... Also, there are annexed certayne reasons, to proue all partes of the worlde habitable, with a generall mappe adioyned. In the second, is set out his second voyage ... In the thirde, is declared the strange fortunes which hapned in the third voyage ... VVith a particular card therevnto adioyned of Meta Incognita ...","Frobisher, Martin, -- Sir, ca. 1535-1594 -- Early works to 1800.; Arctic regions -- Discovery and exploration -- British -- Early works to 1800.; Northwest Passage -- Early works to 1800.",182
